=== ITEMS (id | name | current_image) ===
1 | Italian burger | NULL
2 | expresso | NULL
5 | coffe | NULL
8 | Iced Americano | NULL
9 | CHIKEN BIRIYANI | NULL
10 | TEA | NULL
11 | mandhi | NULL
19 | Tea | NULL
20 | Bru coffee | NULL
21 | Badam milk | NULL
22 | Black tea | NULL
23 | Lime tea | NULL
24 | cheese sweet potato | NULL
25 | cheese omlet | NULL
26 | cheese banana | NULL
27 | Appam | NULL
28 | Nool putt | NULL
29 | porotta | NULL
30 | Nool porotta | NULL
31 | chapathi | NULL
32 | poori | NULL
33 | Veg kuruma | NULL
34 | Egg masala | NULL
35 | Moong beans | NULL
36 | Tomato fry | NULL
37 | chicken roast | NULL
38 | Beef roast | NULL
39 | mutton champ | NULL
40 | fish curry | NULL
41 | vanilla | NULL
42 | berry strawberry | NULL
43 | Butter scotch | NULL
44 | Irish coffee | NULL
45 | Mango | NULL
46 | Choco vanilla | NULL
47 | Blueberry | NULL
48 | Pista | NULL
49 | Chikku | NULL
50 | Mango magic | NULL
51 | Avocado | NULL
52 | Sitaphal | NULL
53 | Oreo | NULL
54 | Dark fantasy | NULL
55 | Chocolate magic | NULL
56 | Nutty snickers | NULL
57 | Kitkat finger | NULL
58 | Galaxy stars | NULL
59 | Coco bounty | NULL
60 | Arabian wonder | NULL
61 | Nutty nuts | NULL
62 | Almond | NULL
63 | Dry fruits | NULL
64 | Whites smoke special | NULL
65 | Chicken kuzhi mandhi | NULL
66 | Arabic Alfham Mandhi | NULL
67 | Fish Mandhi | NULL
68 | Mutton Mandhi | NULL
69 | Shawai Mandhi | NULL
70 | Beef Mandhi | NULL
71 | Mexican Alfham Mandhi | NULL
72 | Peri Peri Alfham Mandhi | NULL
73 | Cheese Alfham Mandhi | NULL
74 | Cheeses Shawai Mandhi | NULL
75 | Kabsa | NULL
76 | Kebab | NULL
77 | Falafel | NULL
78 | Chicken mandhi piece only | NULL
79 | Mutton mandhi piece only | NULL
80 | Beef mandhi piece only | NULL
81 | chicken madhooth | NULL
82 | Masala shawai | NULL
83 | Cheese shawai | NULL
84 | APPAM | NULL
85 | Lime | NULL
86 | Mint lime | NULL
87 | Blue lime | NULL
88 | Passion lime | NULL
89 | Pineapple lime | NULL
90 | Kunafa | NULL
91 | Water Melon | NULL
92 | Baba Ganoush | NULL
93 | Pineapple | NULL
94 | Pappaya | NULL
95 | Pita Bread | NULL
96 | Grape | NULL
97 | Mixed Grill | NULL
98 | Musambi | NULL
99 | Pomegranate | NULL
100 | Turkish Coffee | NULL
101 | Apple | NULL
102 | Mango | NULL
103 | Orange | NULL
104 | Shamam | NULL
105 | Chikku | NULL
106 | Regular | NULL
107 | Royal | NULL
108 | Choco delight | NULL
109 | Butter scotch | NULL
110 | Strawberry | NULL
111 | Pista | NULL
112 | Mango | NULL
113 | Chikku | NULL
114 | Tender | NULL
115 | Seethaphal | NULL
116 | Red velvet | NULL
117 | Snickers | NULL
118 | Kitkat | NULL
119 | Galaxy | NULL
120 | Bounty | NULL
121 | WHITES SMOKE SPECIAL | NULL
122 | Chocolate Overloaded | NULL
123 | Beef roast | NULL
124 | Beef Dry Fry | NULL
125 | Beef Chilly | NULL
126 | Mutton Chaps | NULL
127 | Mutton Masala | NULL
128 | Gopi Chilly | NULL
129 | Gopi Manchurian | NULL
